station,reference_frame,station_lat,station_lon,station_height_m,n_points,n_used,duration_yrs,start_datetime,stop_datetime,start_decimal_year,stop_decimal_year,start_lat,start_lon,stop_lat,stop_lon,start_east_m,start_north_m,stop_east_m,stop_north_m,start_height_m,stop_height_m,east_velocity_m_yr,east_velocity_mm_yr,east_velocity_stderr_mm_yr,east_r_squared,east_p_value,north_velocity_m_yr,north_velocity_mm_yr,north_velocity_stderr_mm_yr,north_r_squared,north_p_value,horizontal_speed_m_yr,horizontal_speed_mm_yr,vertical_velocity_m_yr,vertical_velocity_mm_yr,vertical_velocity_stderr_mm_yr,vertical_r_squared,vertical_p_value
G01,ITRF2014,69.45412358425926,-46.803924480555544,1909.3658000000003,3,3,0.5807263639887879,2024-12-20T12:05:18,2025-07-20T12:00:18.500000,2024.9685892911355,2025.5493156551242,69.45420146944444,-46.803199219444444,69.45399621111112,-46.805095666666666,0.0,0.0,-74.09119691342003,-22.84935766561148,1909.8604,1908.6972,-127.2762756331356,-127276.27563313559,742.3293488638313,0.9999659839741949,0.003712995059156118,-39.395036117460464,-39395.03611746046,118.01216612628103,0.9999910264009526,0.0019070588839059865,133.23370147878472,133233.70147878473,-1.8932717039607811,-1893.2717039607812,265.01074701077283,0.9807835023876665,0.08853563027656548
G05,ITRF2014,69.46011221666666,-46.828564552430564,1903.53035,8,8,0.9388614748640975,2024-09-07T12:00:16.500000,2025-08-16T12:00:17.500000,2024.6844267512902,2025.6232882261543,69.46031846666666,-46.82676239444445,69.45995021388889,-46.83002354722223,0.0,0.0,-127.3717936787965,-40.99389922197133,1906.176,1902.1525,-135.7809451618913,-135780.94516189132,424.2141483480502,0.999941437654916,6.27646248799055e-14,-43.62134219626632,-43621.34219626632,160.36566237480855,0.9999189149572025,1.6660402082804268e-13,142.6158706598263,142615.8706598263,-3.7512759927273023,-3751.2759927273023,433.6816319932229,0.9257606771746181,0.00013159205475897905
G08,ITRF2014,69.33766703902664,-46.33107361632233,1887.061176033058,121,111,1.1433647857647884,2024-06-28T11:14:56.500000,2025-08-20T07:21:22,2024.4903516652753,2025.63371645104,55.68849597222221,12.582020872222222,69.45120756944446,-46.82374151666668,0.0,0.0,-3727722.4478574274,1532065.0550027809,65.4877,1902.5313,-223.52528121959617,-223525.28121959616,821.1662675212441,0.9984503514428499,2.0388626514602013e-163,-46.56578811538856,-46565.788115388554,872.9566393948179,0.9611543489021037,5.838333089750665e-83,228.32416422075613,228324.16422075612,-7.392763271001219,-7392.763271001219,2404.932730740678,0.0765452915641682,0.002643153127865624
G12,ITRF2014,69.45038801354167,-46.83770253090278,1898.4412625,8,8,0.949693076331414,2024-08-21T12:00:16,2025-08-03T12:00:15.500000,2024.637978648047,2025.5876717243784,69.4505792638889,-46.83601386944445,69.4501607,-46.839681005555555,0.0,0.0,-143.29338033317742,-46.59453211232858,1899.9705,1896.6309,-150.74837354450383,-150748.37354450385,189.95499590382894,0.9999904732825885,2.7019755970040367e-16,-49.21646745797241,-49216.467457972416,304.01370791395624,0.9997711150218337,3.747478703270036e-12,158.57910579693316,158579.10579693317,-2.9509008109959196,-2950.9008109959195,391.53970689563664,0.9044604422093032,0.00028288422745850777
G18,ITRF2014,69.45573902430556,-46.87295821111111,1868.0666,4,4,0.8237779312582916,2024-09-05T12:00:16.500000,2025-07-03T12:00:15,2024.678962270416,2025.5027402016742,69.45591905833332,-46.87140513055556,69.45554132222223,-46.87467241666667,0.0,0.0,-127.63749681772453,-42.04958388660543,1870.3527,1865.8823,-154.92242371876205,-154922.42371876206,173.7794022843535,0.9999974834999958,1.2582507936676024e-06,-50.97328810938894,-50973.28810938894,343.8527494715774,0.9999089981594246,4.5501955501681144e-05,163.09271434242063,163092.71434242063,-5.391411942136179,-5391.411942136178,383.0374939649511,0.9900058628652172,0.005009616697117414
